"Informazioni cronologiche","Parola da inserire :","Parole da non utilizzare per far indovinare la parola in questione"
"2023/12/13 6:13:31 PM CET","Napoli","Vesuvio, azzurro, Maradona, sole, mare & caffè "
"2023/12/13 6:14:45 PM CET","Totti","Francesco, magica, rosso-gialla, calcio"
"2023/12/13 6:15:34 PM CET","Bello Figo","Nero, sesso, facoltà, Totti, leggins, pasta al tonno"
"2023/12/14 1:27:18 PM CET","Mister Peepo","coniglio, Gaya, orecchie, carote, animale"
"2023/12/14 1:28:20 PM CET","Edoardo","Fessa, Totti, Gaya, matematica, indovinelli"
"2023/12/14 1:28:53 PM CET","Matilde","Lesbiche, Lorenzo, Vi, Ellie, The last of us"
"2023/12/14 2:09:05 PM CET","Elefante tandem psichico da guerra ","Adventure time
Finn & Jake
India
Zanne
Africa "
"2023/12/14 2:10:01 PM CET","Trans ","Lollo
Lorenzo 
Morganti 
LGBTQ+
Cugino"
"2023/12/14 2:11:30 PM CET","Vi","Lesbica 
Matilde
Arcane
Jinx
League of Legends"
"2023/12/14 2:12:24 PM CET","Ascelle di Caitlyn ","Vi
League of Legends
Arcane
Sceriffo 
Piltover "
"2023/12/14 2:13:12 PM CET","Culo di Lore","Matilde
Sedere
Bello
Mare
Scherzo"
"2023/12/14 2:14:24 PM CET","D&D","Gioco di ruolo
Master
Dadi
Mostro
Sessione"
"2023/12/14 2:15:16 PM CET","Snavajab","WhatsApp
Foto
Noi 
Gruppo
Culo di Lore"
"2023/12/14 2:17:51 PM CET","20 naturale ","D&D
Sessione
Tirare
Dadi
Critico "
"2023/12/14 2:19:00 PM CET","Napoli","Via Brombeis
Campania 
Maradona
San Gennaro
Criminalità "
"2023/12/14 2:20:06 PM CET","Doppiaggio ","Saverio
Gian Andrea
Maurizio Merluzzo
Disney
Pietro Ubaldi"
"2023/12/14 2:23:21 PM CET","Bodeguita ","Cocktail
Vittorio
Venezia
Sabato sera
Bar"
"2023/12/14 2:25:00 PM CET","Riccardo","Tommaso Morganti
Agraria
Ragazza nera
Camicia
R moscia"
"2023/12/14 2:25:59 PM CET","Risiko","Capodanno
Gioco da tavolo
Pedine
Mappa del mondo
Edoardo"
"2023/12/14 2:51:58 PM CET","Funghetto","Briao, ascensore, rutto, Venezia, sessione"
